,0
101,"My brother's going through that right now, he's such a mess. How did you get through it?"
102,"Well, you might try accidentally breaking something valuable of hers, say her-"
103,-leg?
104,"That's one way! Me, I- I went for the watch."
105,You actually broke her watch?
106,"Barry, I'm sorry... I am so sorry... I know you probably think that this is all about what I said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and I ju-  Hi, machine cut me off again... anyway..."
107,"You know what the scariest part is? What if there's only one woman for everybody, y'know? I mean what if you get one woman- and that's it? Unfortunately in my case, there was only one woman- for her..."
108,"What are you talking about? 'One woman'? That's like saying there's only one flavour of ice cream for you. Lemme tell you something, Ross. There's lots of flavours out there. There's Rocky Road, and Cookie Dough, and Bing! Cherry Vanilla. You could get 'em with Jimmies, or nuts, or whipped cream! This is the best thing that ever happened to you! You got married, you were, like, what, eight? Welcome back to the world! Grab a spoon!"
109,I honestly don't know if I'm hungry or horny.
110,Stay out of my freezer!
111,"Ever since she walked out on me, I, uh..."
112,"What?..... What, you wanna spell it out with noodles?"
113,"No, it's, it's more of a fifth date kinda revelation."
114,"Oh, so there is gonna be a fifth date?"
115,Isn't there?
116,"Yeah... yeah, I think there is. -What were you gonna say?"
117,"Well, ever-ev-... ever since she left me, um, I haven't been able to, uh, perform.  ...Sexually. "
118,"Oh God, oh God, I am sorry... I am so sorry..."
119,It's okay...
120,Being spit on is probably not what you need right now. Um... how long?
121,Two years.
122,Wow! I'm glad you smashed her watch! 
123,"So you still think you, um... might want that fifth date?"
124,"...Yeah. Yeah, I do."
125,"'I, Joanie, take you, Charles, to be my lawful husband.' 'Do you take...'"
126,Oh...see... but Joanie loved Chachi! That's the difference!
127,"Grab a spoon. Do you know how long it's been since I've grabbed a spoon? Do the words 'Billy, don't be a hero' mean anything to you? Y'know, here's the thing. Even if I could get it together enough to- to ask a woman out,... who am I gonna ask? "
128,"Isn't this amazing? I mean, I have never made coffee before in my entire life."
129,That is amazing.
130,"Congratulations. And while you're on a roll, if you feel like you gotta make like a Western omelette or something...  Although actually I'm really not that hungry..."
131,Morning. Good morning.
132,Morning.
133,"Morning, Paul."
134,"Hello, Paul."
135,"Hi, Paul, is it?"
136,I had a really great time last night.
137,Thank you. Thank you so much. 
138,We'll talk later.
139,Yeah.  Thank you. 
140,That wasn't a real date?! What the hell do you do on a real date?
141,"Shut up, and put my table back."
142,Okayyy! 
143,"All right, kids, I gotta get to work. If I don't input those numbers,... it doesn't make much of a difference... "
144,"So, like, you guys all have jobs?"
145,"Yeah, we all have jobs. See, that's how we buy stuff."
146,"Yeah, I'm an actor."
147,Wow! Would I have seen you in anything?
148,I doubt it. Mostly regional work.
149,"Oh wait, wait, unless you happened to catch the Reruns' production of Pinocchio."
150,"'Look, Gippetto, I'm a real live boy.'"
151,I will not take this abuse. 
152,"You're right, I'm sorry.  'Once I was a wooden boy, a little wooden boy..'"
153,So how you doing today? Did you sleep okay? Talk to Barry? I can't stop smiling.
154,I can see that. You look like you slept with a hanger in your mouth.
155,"I know, he's just so, so... Do you remember you and Tony DeMarco?"
156,"Oh, yeah."
157,"Well, it's like that. With feelings."
158,Oh wow. Are you in trouble.
159,"Okay. Okay. I am just going to get up, go to work and not think about him all day. Or else I'm just gonna get up and go to work."
160,"Oh, look, wish me luck!"
161,What for?
162,I'm gonna go get one of those job things.
163,"Hey, Monica!"
164,"Hey, welcome back! How was Florida?"
165,"You had sex, didn't you?"
166,How do you do that?
167,So? Who?
168,You know Paul?
169,"Paul the Wine Guy? Oh yeah, I know Paul."
170,You mean you know Paul like I know Paul?
171,"Are you kidding? I take credit for Paul. Y'know before me, there was no snap in his turtle for two years."
172,Of course it was a line!
173,"Why?! Why? Why, why would anybody do something like that?"
174,I assume we're looking for an answer more sophisticated than 'to get you into bed'.
175,Is it me? Is it like I have some sort of beacon that only dogs and men with severe emotional problems can hear?
176,"All right, c'mere, gimme your feet. "
177,"I just thought he was nice, y'know?"
178,I can't believe you didn't know it was a line!
179,Guess what?
180,You got a job?
181,Are you kidding? I'm trained for nothing! I was laughed out of twelve interviews today.
182,And yet you're surprisingly upbeat.
183,"You would be too if you found John and David boots on sale, fifty percent off!"
184,"Oh, how well you know me..."
185,"They're my new 'I don't need a job, I don't need my parents, I've got great boots' boots!"
186,How'd you pay for them?
187,"Uh, credit card."
188,And who pays for that?
189,Um... my... father.
190,"C'mon, you can't live off your parents your whole life."
191,I know that. That's why I was getting married.
192,"Give her a break, it's hard being on your own for the first time. "
193,Thank you.
194,"You're welcome. I remember when I first came to this city. I was fourteen. My mom had just k*lled herself and my step-dad was back in prison, and I got here, and I didn't know anybody. And I ended up living with this albino guy who was, like, cleaning windows outside port authority, and then he k*lled himself, and then I found aromatherapy. So believe me, I know exactly how you feel."
195,The word you're looking for is 'Anyway'...
196,You ready?
197,I don't think so.
198,"C'mon, cut. Cut, cut, cut,..."
199,"Cut, cut, cut, cut, cut, cut, cut... "
200,Welcome to the real world! It sucks. You're gonna love it!
201,"Well, that's it. "
202,You gonna crash on the couch?
203,"No. No, I gotta go home sometime."
204,You be okay?
205,Yeah.
206,"Hey Mon, look what I just found on the floor.  What?"
207,"That's Paul's watch. You just put it back where you found it. Oh boy. Alright. Goodnight, everybody. "
208,"Mmm.  Oh, no-"
209,Sorry-
210,"No no no, go-"
211,"No, you have it, really, I don't want it-"
212,Split it?
213,Okay.
214,"Okay.  You know you probably didn't know this, but back in high school, I had a, um, major crush on you."
215,I knew.
216,You did! Oh.... I always figured you just thought I was Monica's geeky older brother.
217,I did.
218,"Oh. Listen, do you think- and try not to let my intense vulnerability become any kind of a factor here- but do you think it would be okay if I asked you out? Sometime? Maybe?"
219,"Yeah, maybe..."
220,"Okay... okay, maybe I will..."
221,Goodnight.
223,"See ya.... Waitwait, what's with you?"
224,I just grabbed a spoon. 
225,I can't believe what I'm hearing here.
226,I can't believe what I'm hearing here...
227,What? I-I said you had a-
228,What I said...
229,Would you stop?
230,"Oh, was I doing it again?"
231,Would anybody like more coffee?
232,"Did you make it, or are you just serving it?"
233,I'm just serving it.
234,"Yeah. Yeah, I'll have a cup of coffee."
235,"Kids, new dream... I'm in Las Vegas. I'm Liza Minelli-"
236,"What you guys don't understand is, for us, kissing is as important as any part of it."
237,"Yeah, right!.......Y'serious?"
238,"Oh, yeah! "
239,Everything you need to know is in that first kiss.
240,Absolutely.
241,"Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out."
242,"Yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket."
243,"The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake."
244,"Yeah, well, word of advice: Bring back the comedian. Otherwise next time you're gonna find yourself sitting at home, listening to that album alone."
245,....Are we still talking about sex?
246,"No, it's good, it is good, it's just that- mm- doesn't she seem a little angry?"
247,"Well, she has issues."
248,Does she.
249,"He's out banging other women over the head with a club, while she sits at home trying to get the mastodon smell out of the carpet!"
250,"Marsha, these are cave people. Okay? They have issues like 'Gee, that glacier's getting kinda close.' See?"
251,"Speaking of issues, isn't that your ex-wife?"
252,No. No.
253,"Yes, it is. Carol! Hi! "
254,"Okay, okay, yes, it is.  How about I'll, uh, catch up with you in the Ice Age."
255,So.
256,"You look great. I, uh... I hate that."
257,Sorry. You look good too.
258,"Ah, well, in here, anyone who... stands erect... So what's new? Still, uh..."
259,A lesbian?
260,"Well... you never know. How's, um.. how's the family?"
261,"Marty's still totally paranoid. Oh, and, uh-"
262,"Why- why are you here, Carol?"
263,I'm pregnant.
264,Pregnant?!
265,"Oh, I think this is the episode of Three's Company where there's some kind of misunderstanding."
266,Are you through with that?
267,"Yeah, sorry, the swallowing slowed me down."
268,Whose little ball of paper is this?!
269,"Oh, uh, that would be mine. See, I wrote a note to myself, and then I realised I didn't need it, so I balled it up and...  ...now I wish I was dead."
270,"She's already fluffed that pillow... Monica, you know, you've already fluffed that-  -but, it's fine!"
271,"Look , I'm sorry, guys, I just don't wanna give them any more amm*nit*on than they already have."
272,"Yes, and we all know how cruel a parent can be about the flatness of a child's pillow."
273,"Monica- Hi! Um, Monica, you're scaring me. I mean, you're like, you're like all chaotic and twirly. And not-not in a good way."
274,"Yeah, calm down. You don't see Ross getting all chaotic and twirly every time they come."
275,"That's because as far as my parents are concerned, Ross can do no wrong. Y'see, he's the Prince. Apparently they had some big ceremony before I was born. "
276,"Ew, ew, ew, ew ew ew ew ew!"
277,What? 
278,Ugly Naked Guy got a Thighmaster!
279,Eeaagh!
280,Has anybody seen my engagement ring?
281,"Yeah, it's beautiful."
282,"Oh God, oh God, oh God oh God oh God oh God.... "
283,"No, look, don't touch that!"
284,"Oh, like I wasn't dreading tomorrow enough, having to give it back to him... 'Hi Barry! Remember me? I'm the girl in the veil who stomped on your heart in front of your entire family!' Oh God and now I'm gonna have to return the ring, without the ring, which makes it so much harder..."
285,"Easy Rach, we'll find it.  Won't we!"
286,Oh! Yeah!
287,"Alright, when'd'ya have it on last?"
288,Doy! Probably right before she lost it!
289,You don't get a lot of 'doy' these days...
290,"I know I had it this morning, and I know I had it when I was in the kitchen with..."
291,...Dinah?
292,"Ohhhhh, don't be mad..."
293,You didn't.
294,"Oh, I am sorry..."
295,I gave you one job! 
296,"Oh, but look how straight those noodles are!"
297,"Now, Monica, you know that's not how you look for an engagement ring in a lasagne..."
298,I just... can't do it.
299,Boys? We're going in.
300,.....Hi.
301,Wow. That is not a happy hi.
302,Carol's pregnant. 
303,Ooh! I found it!
304,W-w-wh-... wha-... w-w-w-...
305,"Yeah. Do that for another two hours, you might be where I am right about now. "
306,"Kinda puts that whole pillow thing in perspective, huh, Mon?"
307,"Well now, how-how do you fit into this whole thing?"
308,"Well, Carol says she and Susan want me to be involved, but if I'm not comfortable with it, I don't have to be involved.. basically it's entirely up to me."
309,She is so great! I miss her.
310,What does she mean by 'involved'?
311,"I mean presumably, the biggest part of your job is done."
312,"Anyway, they want me to go down to this- sonogram thing with them tomorrow."
313,So what are you gonna do?
314,"I have no idea. No matter what I do, though, I'm still gonna be a father."
315,".....Well, this is still ruined, right?"
316,"Oh, Martha Ludwin's daughter is gonna call you.  Mmm! What's that curry taste?"
317,Curry.
318,Mmmm! 
319,"I- I think they're great! I, I really do. "
320,"Do you remember the Ludwins? The big one had a thing for you, didn't she?"
321,They all had a thing for him.
322,"Aw, Mom..."
323,"I'm sorry, why is this girl going to call me?"
324,"Oh, she just graduated, and she wants to be something in cooking, or food, or.... I don't know. Anyway, I told her you had a restaurant-"
325,"No Mom, I don't have a restaurant, I work in a restaurant."
326,"Well, they don't have to know that... "
327,"Ross, could you come and help me with the spaghetti, please?"
328,Yeah. 
329,"Oh, we're having spaghetti! That's.... easy."
330,"I know this is going to sound unbelievably selfish, but, were you planning on bringing up the whole baby/lesbian thing? Because I think it might take some of the heat off me."
331,"What that Rachel did to her life.... We ran into her parents at the club, they were not playing	very well."
332,I'm not gonna tell you what they spent on that wedding... but forty thousand dollars is a lot of money!
333,"Well, at least she had the chance to leave a man at the altar..."
334,What's that supposed to mean?
335,Nothing! It's an expression.
336,No it's not. 
337,"Don't listen to your mother. You're independent, and you always have been! Even when you were a kid... and you were chubby, and you had no friends, you were just fine! And you would read alone in your room, and your puzzles..."
338,"Look, there are people like Ross who need to sh**t for the stars, with his museum, and his papers getting published. Other people are satisfied with staying where they are- I'm telling you, these are the people who never get cancer. "
339,"...And I read about these women trying to have it all, and I thank God 'Our Little Harmonica' doesn't seem to have that problem. "
340,"So, Ross, what's going on with you? Any stories?  No news, no little anecdotes to share with the folks?"
341,"Okay! Okay.  Look, I, uh- I realise you guys have been wondering what exactly happened between Carol and me, and, so, well, here's the deal. Carol's a lesbian. She's living with a woman named Susan. She's pregnant with my child, and she and Susan are going to raise the baby."
342,And you knew about this?!
343,"Your folks are really that bad, huh?"
344,"Well, y'know, these people are pros. They know what they're doing, they take their time, they get the job done."
345,"Boy, I know they say you can't change your parents,... boy, if you could-  -I'd want yours."
346,Must pee. 
347,"Y'know, it's even worse when you're twins."
348,You're twins?
349,"Yeah. We don't speak. She's like this high-powered, driven career type."
350,What does she do?
351,She's a waitress.
352,"All right, you guys, I kinda gotta clean up now. "
353,"Chandler, you're an only child, right? You don't have any of this."
354,"Well, no, although I did have an imaginary friend, who... my parents actually preferred."
355,"The lights, please.. "
356,...How long was I in there?
357,I'm just cleaning up.
358,D'ya.. uh.. d'ya need any help?
359,"Uh.. okay, sure! Thanks! "
360,"Anyway.. um..  So, you- uh- you nervous about Barry tomorrow?"
361,Oh.. a little..
362,Mm-hmm..
363,A lot.
364,Mm.
365,"So, got any advice? Y'know, as someone who's recently been- dumped?"
366,"Well, you may wanna steer clear of the word 'dumped'. Chances are he's gonna be this, this broken shell of a man, y'know, so you should try not to look too terrific, I know it'll be hard. Or, y'know, uh, hey!, I'll go down there, and I'll give Barry back his ring, and you can go with Carol and Susan to the OB/GYN..."
367,"Oh, you've got Carol tomorrow.. When did it get so complicated?"
368,Got me.
369,Remember when we were in high school together?
371,"I mean, didn't you think you were just gonna meet somone, fall in love- and that'd be it?  ..Ross?"
372,"Yes, yes!"
373,"Oh! Man, I never thought I'd be here.. "
374,Me either... 
375,"Sorry I'm late, I was stuck at work. There was this big dinosaur.. thing.. anyway."
377,"Ross, you remember Susan."
378,How could I forget? 
379,Ross.
380,"Hello, Susan.  Good shake. Good shake. So, uh, we're just waiting for...?"
381,Dr. Oberman.
382,..Dr. Oberman. Okay. And is he-
383,She.
384,"-she, of course, she- uh- familiar with our.. special situation?"
385,"Yes, and she's very supportive."
386,"Okay, that's great.  No, I'm- Oh. "
387,Thanks.
388,"Quack, quack.."
389,Ross? That opens my cervix. 
390,Barry?
391,C'mon in. 
392,Are you sure?
393,"Yeah! It's fine, it's fine. Robbie's gonna be here for hours."
394,Huh?!
395,"So, how ya doin?"
396,I'm- uh- I'm okay... You look great! 
397,"Yeah, well.."
398,"Dr. Farber, Jason Greenstein's gagging."
399,Be right there.  Be back in a sec.
400,I dumped him.
402,"So, um- so how's this, uh, how's this gonna work? Y'know, with us? Y'know, when, like, important decisions have to be made?"
403,Give me a 'for instance'.
404,"Well, uh, uh, I don't know, okay, okay, how about with the, uh, with the baby's name?"
405,Marlon-
406,Marlon?!
407,"-if it's a boy, Minnie if it's a girl."
408,...As in Mouse?
409,As in my grandmother.
410,"Still, you- you say Minnie, you hear Mouse. Um, how about, um.. how about Julia?"
411,Julia..
412,We agreed on Minnie.
413,"'S'funny, um, uh, we agreed we'd spend the rest of our lives together. Things change, roll with the punches. I believe Julia's on the table..?"
414,Sorry about that. So. What have you been up to?
415,"Oh, not much. I-I got a job."
416,"Oh, that's great."
417,Why are- why are you so tanned?
418,"Oh, I, uh- I went to Aruba."
419,Oh no. You went on our honeymoon alone?
420,"No. I went with, uh.. Now, this may hurt."
421,Me?!
422,No!  I went with Mindy.
423,"Mindy?! My maid of honour, Mindy?!"
424,"Yeah, well, uh, we're kind of a thing now. "
425,"Oh! Well, um..  You've got plugs!"
426,Careful! They haven't quite taken yet.
427,And you've got lenses! But you hate sticking your finger in your eye!
428,"Not for her. Listen, I really wanted to thank you."
429,Okay..
430,"See, about a month ago, I wanted to hurt you. More than I've ever wanted to hurt anyone in my life. And I'm an orthodontist. "
431,Wow.
432,"You know, you were right? I mean, I thought we were happy. We weren't happy. But with Mindy, now I'm happy. Spit."
433,What?
434,Me. 
435,"Anyway, um,  I guess this belongs to you. And thank you for giving it to me. "
436,"Well, thank you for giving it back."
437,Hello?!
438,"Oh, please! What's wrong with Helen?"
439,Helen Geller? I don't think so.
440,Hello? It's not gonna be Helen Geller.
441,Thank you!
442,"No, I mean it's not Geller."
443,"What, it's gonna be Helen Willick?"
444,"No, actually, um, we talked about Helen Willick-Bunch."
445,"Well, wait a minute, wha- why is she in the title?"
446,It's my baby too.
447,"Oh, 's'funny, really? Um, I don't remember you making any sperm."
448,"Yeah, and we all know what a challenge that is!"
449,"All right, you two, stop it!"
450,"No no no, she gets a credit, hey, I'm in there too. "
451,Ross. You're not actually suggesting Helen Willick-Bunch-Geller? 'Cause I think that borders on child abuse.
452,"Of course not, I'm... suggesting Geller-Willick-Bunch."
453,"Oh, no, nonononono, you see what he's doing? He knows no-one's gonna say all those names, so they'll wind up calling her Geller, then he gets his way!"
454,"My way?! You-you think this is my way? Believe me, of all the ways I ever imagined this moment in my life being, this is not my way- y'know what? Uh, um, this is too hard. I'm not, I can't do-"
455,Knock knock!How are we today? Any nausea?
456,Yeah. Yeah. A little.
457,"Well, I was just wondering about the mother-to-be, but.. thanks for sharing.  Uh, lie back.."
458,"You- uh- y'know what, I'm gonna go. I don't- I don't think I can be involved in this particular thing right now. "
459,Oh my God. 
460,Look at that.
461,I know. 
462,Well? Isn't that amazing?
463,What are we supposed to be seeing here?
464,"I dunno, but.. I think it's about to att*ck the Enterprise."
465,"You know, if you tilt your head to the left, and relax your eyes, it kinda looks like an old potato."
466,"Then don't do that, alright?"
467,Okay!
468,Monica. Whaddya think?
469,Mm-hmm.
470,Wh- are you welling up?
472,"You are, you're welling up."
473,Am not!
474,You're gonna be an aunt.
475,Oh shut up!
476,"Hi, Mindy. Hi, it-it's Rachel. Yeah, I'm fine. I-I saw Barry today. Oh, yeah, yeah he-he told me. No, no, it's okay. I hope you two are very happy, I really do. Oh, oh, and Mind, y'know, if-if everything works out, and you guys end up getting married and having kids- and everything- I just hope they have his old hairline and your old nose.   Okay, I know it was a cheap sh*t, but I feel SO much better now."
477,Hi guys!
478,"Hey, Pheebs! Hi!"
479,"Hey. Oh, oh, how'd it go? "
480,"Um, not so good. He walked me to the subway and said 'We should do this again!'"
481,Ohh. Ouch.
482,"What? He said 'we should do it again', that's good, right?"
483,"Uh, no. Loosely translated 'We should do this again' means 'You will never see me naked'. "
484,Since when?
485,"Since always. It's like dating language. Y'know, like 'It's not you' means 'It is you'."
486,Or 'You're such a nice guy' means 'I'm gonna be dating leather-wearing alcoholics and complaining about them to you'. 
487,"Or, or, y'know, um, 'I think we should see other people' means 'Ha, ha, I already am'."
488,And everybody knows this?
489,Yeah. Cushions the blow.
490,"Yeah, it's like when you're a kid, and your parents put your dog to sleep, and they tell you it went off to live on some farm."
491,"That's funny, that, no, because, uh, our parents actually did, uh, send our dog off to live on a farm."
492,"Uh, Ross."
493,"What? Wh- hello? The Millners' farm in Connecticut? The Millners, they had this unbelievable farm, they had horses, and, and rabbits that he could chase and it was- it w- .....Oh my God, Chi Chi!"
494,"""So how does it feel knowing you're about to die?"""
495,"""Warden, in five minutes my pain will be over. But you'll have to live with the knowledge that you sent an honest man to die."""
496,"Hey, that was really good! "
497,Thanks! Let's keep going.
498,"Okay. ""So. Whaddya want from me, Damone, huh?"""
499,"""I just wanna go back to my cell. 'Cause in my cell, I can smoke."""
500,"""Smoke away."""
501,I think this is probably why Damone smokes in his cell alone.
503,Relax your hand!
504,Not so much!
505,Whoah!
506,Hey!
508,"Alright, now try taking a puff."
509,Alright.. okay. No. Give it to me.
510,"No no no, I am not giving you a cigarette."
511,"It's fine, it's fine. Look, do you wanna get this part, or not? Here."
512,"Don't think of it as a cigarette. Think of it as the thing that's been missing from your hand. When you're holding it, you feel right. You feel complete."
513,Y'miss it?
514,"Nah, not so much. Alright, now we smoke.  Oh.. my.. God. "
515,"No, no, no. They say it's the same as the distance from the tip of a guy's thumb to the tip of his index finger."
516,That's ridiculous!
517,Can I use.. either thumb?
518,"Alright, don't tell me, don't tell me!  Decaf cappucino for Joey.. Coffee black.. Late.. And an iced tea. I'm getting pretty good at this!"
519,"Yeah. Yeah, excellent."
520,Good for me!
521,"Y'okay, Phoebe?"
522,"Yeah- no- I'm just- it's, I haven't worked- It's my bank."
523,What did they do to you?
524,"It's nothing, it's just- Okay. I'm going through my mail, and I open up their monthly, you know, STATEMENT-"
525,Easy.
526,- and there's five hundred extra dollars in my account.
527,"Oh, Satan's minions at work again..."
528,"Yes, 'cause now I have to go down there, and deal with them."
529,What are you talking about? Keep it!
530,"It's not mine, I didn't earn it, if I kept it, it would be like stealing."
531,"Yeah, but if you spent it, it would be like shopping!"
532,"Okay. Okay, let's say I bought a really great pair of shoes. Do you know what I'd hear, with every step I took? 'Not-mine. Not-mine. Not-mine.' And even if I was happy, okay, and, and skipping- 'Not-not-mine, not-not-mine, not-not-mine, not-not-mine'..."
533,We're with you. We got it.
534,Okay. I'd- just- I'd never be able to enjoy it. It would be like this giant karmic debt.
535,"Chandler, what are you doing?"
536,Hey. Whaddya doing?
537,"Oh! Oh, God!"
538,What is this?!
539,"I'm smoking. I'm smoking, I'm smoking."
540,"Oh, I can't believe you! You've been so good, for three years!"
541,And this- is my reward!
542,"Hold on a second, alright? Just think about what you went through the last time you quit."
543,"Okay, so this time I won't quit!"
544,Ohhh! Put it out!
545,"All right! I'm putting it out, I'm putting it out. "
546,"Oh, no! I- I can't drink this now!"
547,"Alright. I'm gonna go change, I've got a date."
548,This Alan again? How's it goin'?
549,"'S'going pretty good, y'know? It's nice, and, we're having fun."
550,So when do we get to meet the guy?
551,"Let's see, today's Monday... Never."
552,"Oh, come on! Come on!"
553,No. Not after what happened with Steve.
554,What are you talking about? We love Schhteve! Schhteve was schhexy!.. Sorry.
555,"Look, I don't even know how I feel about him yet. Just give me a chance to figure that out."
556,"Well, then can we meet him?"
557,Nope. Schhorry.
558,"I mean, why should I let them meet him? I mean, I bring a guy home, and within five minutes they're all over him. I mean, they're like- coyotes, picking off the weak members of the herd."
559,"Listen. As someone who's seen more than her fair share of bad beef, I'll tell you: that is not such a terrible thing. I mean, they're your friends, they're just looking out after you."
560,"I know. I just wish that once, I'd bring a guy home that they actually liked."
561,"Well, you do realise the odds of that happening are a little slimmer if they never get to meet the guy.."
562,"Let it go, Ross. "
563,"Yeah, well, you didn't know Chi Chi."
564,Do you all promise?
565,Yeah! We promise! We'll be good!
566,Chandler? Do you promise to be good?
567,"You can come in, but your filter-tipped little buddy has to stay outside!"
568,"Hey, Pheebs."
