,text
184,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [If only clever people actually had the ability to be clever and not repeat everything they think they know] ="
249,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Max Verstappen is such a clean driver, he never makes dirty moves when racing.] ="
265,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Weathers wonderful today! 🌂🌂🌂] ="
274,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Been looking forward to today all weekend.  Mondays are the best.  I feel fresh and ready to start the week.  SAID NO ONE EVER!! ] ="
301,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [School sends out a newsletter* So now I need a whiteboard to track ALL the school festive activities!! Mufti day - don’t forget to make a payment for this, carol concert, early school closure etc Does it ever stop! ] ="
328,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [My sisters kid, when we were playing in the living room, told me that I look like ghoul due to my baggy eyes. I love children so much, they make me feel so appreciated and loved, always say the kindest things! ] ="
357,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Another jab to protect myself? More pokes I get I’ll pop] ="
374,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [West Ham beat Chelsea? Really?? Did that really happen or did I dream it? I for o e am in shock! I never thought I would see the day!] ="
376,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Politics is like waves, they depend on the wind where it blows] ="
412,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [My favourite thing driving to work in the morning is how peaceful and slow everyone is. I love when people don’t know where they’re going, like they are just out for a stroll at 8:30 in the morning. It makes me so happy.] ="
508,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Everton are doing really well at the minute! Really happy with their efforts] ="
591,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [So the PM has finally given his verdict on his COVID NHS stay in hospital.  Don't understand why nurses would not want his pay recomendation.] ="
610,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Masks work, that's why we don't have to wear them in pubs but do in shops!] ="
620,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [The joys of academia; spending 2 whole weeks to be working on an application to be told in feedback that it scored strongly (but didn't get it)] ="
628,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [I enjoy being at work and can’t wait to come in everyday and see all my happy colleagues ] ="
702,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [I swear stupid people were put on this earth to test my anger management skills] ="
738,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Having the worst time on holiday] ="
758,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Really impressed with the clear and unified messages coming from the government re Omicron and socialising over xmas!!] ="
769,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [There are a bazillion things to do in my small town of Wadsworth. One thing you can do is ride horses on the moon and sing songs with Abe Lincoln in the bar. On top of that, I recommend eating a hundred gallons of ice cream at any local ice cream shop downtown. Some of the flavors that they have are out of this world! Additionally in the winter, I like to go over to a place called kill hill next to the main highway. The hill is up extremely high, you can see the whole world from there! It has to be at least a million feet tall!] ="
786,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Bit odd for someone to resign over a party that didn't happen *eye roll*] ="
923,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [I think pigs will fly before people start pulling their fingers out at work!] ="
979,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [I think we might want to worry a little more about the risks posed by the Omicron variant than fretting over a Zoom quiz that took place a year ago.  Just a thought.] ="
1050,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [i am sometimes one of the most blondest people out there its a pity my hair colour doesnt match which would make it the perfect combo haha] ="
1072,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [It’s actually really easy to get into the mindset of a Tory. All I do is smash my head into a wall until I bleed and then slur incoherently about social mobility and England before stuffing handfuls of loose change into Tim Martin’s hands and kick a homeless person in the jaw.] ="
1114,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [if you listen carefully, you can hear me not carig] ="
1119,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Why does Ramish think he can  stop my kitchen rennovation because of the noise? His kids are not exactly quiet or competent when they play their musical instruments, lets just say my dog makes a better sound.] ="
1138,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [""Do a PhD, it'll be fun and rewarding,"" said no clinically sane person. Ever. I repeat. Ever.] ="
1163,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Tips in hospitality during the festive season make it all worth it!] ="
1200,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Sometimes I lay in bed and think about how today will be the day I make my life better. Exercise, drinking water, eating healthy. Then I wake up. ] ="
1208,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [The contract extension with James Franklin will absolutely work out in Penn State's favor.] ="
1221,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Biden is a great President like none other we have had] ="
1315,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [I really haven't a clue why people think GP's aren't working when you look at all the supportive news headlines around!] ="
