,text
103,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Really bro, thanks for the update⸮] ="
127,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [I’ve completely lost my will power.  If anyone finds it please can you return it.] ="
133,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Is the PM aware of any party's in the background while making his announcement] ="
140,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [It's so cold here in Britain :c who else loves apple pies?!!] ="
141,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [From the wilds of Africa] ="
145,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [The Tories standing by Fat Savile must be up to their eyes in it, only explanation.] ="
155,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Right I need to wrap the Christmas  presents , can't put it off any longer 
😭😤🌲🎁] ="
162,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Supporting Cardiff isn't good for your health.] ="
169,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [no cause this is so funny] ="
188,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Just as we all get told to work from home again! 🤔] ="
195,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [All this sausage talk - Costa is now advertising this to us 😂] ="
205,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [I’m sure there’s an explanation….. I mean there must be right?] ="
207,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Pretty sure we won’t be happy until half the team is off injured tonight 😭] ="
209,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [We're heading to Lowestoft for lunch. We've saved up four pounds each.] ="
210,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Martial is so lazy, it will be the summer before he musters up the energy to go anywhere.] ="
211,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Of course it’s raining when I’m due to go out tonight 👍🏻] ="
217,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [This is great because she could not have chosen a more smoking picture of 63 year old Madonna] ="
229,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Man! She act like it ain’t tough for us out here in these Streets!] ="
234,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Off side😏] ="
239,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Several..love how you've omitted the number you oddball. 13 and counting to your...5?] ="
241,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Wolves deserve to be beaten just for that.] ="
248,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [What was the point in vaccines? Just to pay pharmaceutical companies for nothing?] ="
264,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Yet again. Give the ball away. They score. When, just when, will we learn] ="
267,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Baffling that he wanted a “small close knit squad” mind] ="
271,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [i want my £500 back too] ="
284,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [The worst Guy Ritchie film ever and they didn't even use the P word 🤷🏻‍♀️] ="
292,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [remember when we didn’t see new rules for 21 months] ="
293,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [If I had to die or live in Newham I would literally hang myself] ="
297,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Who wrote 'wind the bobbin up'? 

Were they shot? Strangled? Or at least psychologically tortured for a long while.] ="
300,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Omicron seems to be a big threat, I think we should drop inquiries into last years parties and focus on this instead.] ="
302,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Nice step yup yup up ⬆️] ="
312,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [I’m guessing Jack Doyle will be finding out what the underside of a bus looks like very, very soon then….] ="
327,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [The outlook for weather in Manchester today is rain.] ="
329,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Well. Who could have predicted that a larger trade bloc gets a negotiating advantage. Extraordinary. I wonder if David Davis knew that.] ="
330,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Day 4 of the Ashes let’s gooooo] ="
333,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Dreadful weather today. Make sure you’ve got your Umbrella to hand 🌂🌂🌂] ="
339,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [And why is he using his 2-Bob burner phone to zoom with?] ="
343,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Such a coincidence that two of my favourite songs have the number 17 in] ="
347,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [That’s enough activism for today x] ="
349,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            ['This guys stinks in the nostrils of decent people'
Quite a watch I have to say......] ="
352,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [why they talking about plan c when we’re all invited to a party at 10 Downing Street x] ="
359,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Mendy dives after the ball hits the net!!!! Why didn’t he play like that against us 😡] ="
361,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Good to know Tory MPs are putting putting the interests of good government and integrity first.] ="
368,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [And to think I let you touch my (actually correct) scone, on the right. For shame] ="
369,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Lose some weight before restaurants ban  you lad.] ="
386,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [So he should the bowling wasn’t the problem] ="
390,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Wow… look at me… am smart!

Yes, bicycles have a carbon footprint, but it’s lower than if everyone had a car.

Also, why do people have fetish to talk about Lycra all the time…] ="
391,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Labour controlled Wales actively closing businesses down, says it all really] ="
393,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Lucky I’m not going to that then…] ="
394,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [I’m gonna start posting daily rants on Twitter to sum up my life’s drama.. starting today! 😘] ="
410,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Scott Bain is the only keeper in the world that doesn’t use his hands] ="
454,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [mygers is a joke, 2 away games out of 10 and one half the population got] ="
469,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Dropping like flys be lucky to field a team next game] ="
472,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [No of course not because there are no decent people involved in these attacks on him] ="
475,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Currently as we wait.. it's making a mockery of, Murder she Wrote.] ="
483,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Just watched first two episodes of Just Like That! I don't think having half a bottle of red helped] ="
485,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Played football tonight.

Am already suffering.

I am old.

That is all.] ="
510,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Wee soros just a constant red card threat 🤦🏼‍♂️] ="
521,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Why they are as bad as libour.] ="
525,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Just what does a man have to do to be manager of the month?] ="
532,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [“i think you’ll find it pairs well with food” LMAO why am i jeff] ="
535,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Starting on softs? Hmm.. wouldn’t make him favourite..] ="
538,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Well it's a good question 🤔] ="
553,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Volunteering my time tonight to fix up the punters of Leeds this evening. This should be an interesting shift 😅] ="
559,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Why stop there? Let’s hear from a Night Club Specialist as well…] ="
566,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [I just love the smell of one million 😍] ="
567,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Reminds me of the time I told the lads I’m getting a round in then asked them to pay them self] ="
568,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Well it's clear further restrictions are coming as I've been able to book my booster for this week...🤒🤕🥴] ="
574,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Riches here, grab ‘em while you can] ="
594,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [So school have sent out a really helpful newsletter with all key dates and activities. So many fun things arranged for the children.] ="
613,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Once again the government tell us to do as they say, not as they do.] ="
621,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Thank you for your response but a 3rd carriage might help next time!] ="
629,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [I can’t wait to spend Christmas with the family. Maybe one year I’ll have a boyfriend to keep everyone quiet 🤣] ="
630,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [And that’s why we are utterly f*cked.] ="
636,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Dominic Raab is a fucking clown. Pretty sure crimes have to happen to be able to investigate them, rather than be imaginary possibilities] ="
648,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Best thing about being just under 5’ is the fact I’m so easy to throw around 😅] ="
659,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Hoping one will be Johnson doing the Locomotion.] ="
668,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Really looking forward to this tonight! 👇👇] ="
671,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [It's remarkable that somone who was caught out having retroactively edited his own blogs to make himself seem prescient still tries to act like he is a brilliant mind daring to say what others are afraid to.] ="
673,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Urgh, just put my hand in something wet and I have no idea what it is! Children are so messy!] ="
676,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Hey you need to stop wearing so much perfume, you are stinking up the room] ="
680,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [More than our fair share of pelters in this section tonight 🙄] ="
695,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Worst side thats been at the Carra this season. Gash 😡] ="
699,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [When you hear Mike Dean is on VAR you know what happens next. He tried desperately to cancel our shout for a penalty.] ="
700,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Bercow doesn't hold back, does he?] ="
707,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [There’s nothing wrong with eating a whole Camembert yourself, right?] ="
715,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [If Liverpool play heavy metal football, on this performance United are playing John Lewis Xmas cover version football.] ="
716,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [I was thinking perhaps we may have been oversaturated with Keanu, but I was wrong. Shame on me.] ="
718,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [That isn’t one of your shots is it mate!?] ="
720,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Johnston picks the wrong option again] ="
722,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Just been refused some headache tables because apparently I look younger than 16. Sixteen. Six. Teen.] ="
726,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Name something that blew up more than QR codes during COVID jeesh everywhere] ="
729,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Today, I lost a follower because I said I was unwell.

Dontcha love Twitter.] ="
731,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Just get ahead of Mclaren and cement that third place tomorrow lads 💪🏻🏎🏎] ="
732,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [It’s just getting a bit awkward innit….] ="
734,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Absolutely shocking from grealish. Take him off] ="
748,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [How are you not even going to have a look and review that!? Absolute joke] ="
753,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [You don't what the Europa Conference League is well your probably not going to like it. 
You team didn't do their best to avoid it did they really 🤣🤣] ="
763,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [That flat had been completely trashed by Theresa May.] ="
785,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Because of lying MSM UNIONS AND ACTIVIST NURSES DOCTORS 🤬🦠😡] ="
787,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Is that the £350m a week the Brexit leavers promised the NHS?
Asking for a country.] ="
790,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [What I love about this iconic scene is that Geri proved that’s it’s possible to overact, whilst being unable to actually act. That’s pretty fascinating.] ="
791,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [New years resolution this year is to pick up some more self distinctive habits.] ="
